website_manage,网站管理
website_website_list,网站列表
website_menutype_list,菜单类型
website_menu_list,菜单列表
website_menu_new,新建菜单
website_menu_edit,编辑菜单
website_component,组件
website_link,链接
website_target,目标
website_icon,图标
website_menu_type,菜单类型
website_select,选择
website_parent_menu,父菜单
website_root_menu,根菜单
website_err_upload_icon,只能上传图片(.jpg、.jpeg、.png、.gif)
website_err_background_image,只能上传图片(.jpg、.jpeg、.png)
website_sort,排序
website_website_setting,网站设置
website_background_color,背景颜色
website_background_image,背景图片
