key,zh-CN
website_title,OA
company_manage,公司管理
yes,是
no,否
enable,启用
login,登录
username,用户名
password,密码
repassword,确认密码
logout,退出
change_password,修改密码
permission_denied,权限不足
url,链接地址
old_password,旧密码
new_password,新密码
repassword,重复密码
address,地址
email,邮箱
unselect,未选择
none,没有
pleaselogin,请登录
account,帐号
fullname,姓名
nickname,昵称
mobile,手机号码
chinese_name,中文名字
english_name,英文名字
phone,座机号码
gender,性别
male,男性
female,女性
save,保存
unknown,未知
total_records,共有 %s 条数据
please_select,请选择
contacts,通讯录
abbreviation,简称
organization_position,职位
organization_position_list,职位列表
boss_position,上级职位
export,导出
export_to_foxmail,导出Foxmail格式
export_to_android,导出Android格式
export_to_iphone,导出iphone格式
export_contacts,导出通讯录
boss,上司
phone_code,电话区号
area_data,地区数据
system_manage,系统管理
add,添加
edit,编辑
delete,删除
name,名称
area_name,地区名称
area_abbr,地区简称
area_code,地区代码
back,返回
account_list,账号列表
level,等级
status,状态
code,代号
label,文本
enabled,已启用
disabled,已禁用
organisation,公司架构
company,公司
department,部门
owner_company,所属公司
owner_department,所属部门
company_list,公司列表
employee_list,员工列表
department_list,部门列表
created_time,创建时间
account_profile,账号信息
personal_email,个人邮箱
personal_phone,个人电话
success_operation,操作已成功
work_email,工作邮箱
work_phone,工作电话
delete_confirm,数据删除不能恢复，确定删除吗？
err_system,系统错误
err_input_invalid,请正确填写所有信息
system_manage,系统管理
new,新建
label,标签
text,文本
