website_title,OA
company_manage,公司管理
yes,是
no,否
enable,启用
login,登录
username,用户名
password,密码
repassword,确认密码
logout,退出
change_password,修改密码
permission_denied,权限不足
url,链接地址
old_password,旧密码
new_password,新密码
repassword,重复密码
address,地址
email,邮箱
unselect,未选择
none,没有
pleaselogin,请登录
account,帐号
fullname,姓名
nickname,昵称
mobile,手机号码
chinese_name,中文名字
english_name,英文名字
phone,座机号码
gender,性别
male,男性
female,女性
save,保存
unknown,未知
please_select,请选择
contacts,通讯录
abbreviation,简称
organization_position,职位
organization_position_list,职位列表
boss_position,上级职位
export,导出
export_to_foxmail,导出Foxmail格式
export_to_android,导出Android格式
export_to_iphone,导出iphone格式
export_contacts,导出通讯录
boss,上司
phone_code,电话区号
area_data,地区数据
system_manage,系统管理
add,添加
edit,编辑
delete,删除
name,名称
area_name,地区名称
area_abbr,地区简称
area_code,地区代码
back,返回
auth_manage,权限管理
account_list,账号列表
level,等级
status,状态
code,编号
label,文本
organisation,公司架构
company,公司
department,部门
owner_company,所属公司
owner_department,所属部门
company_list,公司列表
employee_list,员工列表
department_list,部门列表
created_time,创建时间
user_manage,用户管理
user_profile,账号信息
personal_email,个人邮箱
personal_phone,个人电话
work_email,工作邮箱
work_phone,工作电话
account_level_admin,管理员
account_level_normal,普通用户
account_status_activated,已激活
account_status_nonactivated,未激活
account_status_freezed,已冻结
account_status_disabled,已禁用
delete_confirm,数据删除不能恢复，确定删除吗？
behavior_list,操作列表
role_list,角色列表
add_user,添加用户
err_system,系统错误
err_password,密码错误
err_login,用户名或密码错误
err_input_invalid,请正确填写所有信息
err_account_exists,帐号 [%s] 已存在
err_code_exists,编号 [%s] 已存在
err_create_user,用户创建失败
err_account_nonactivated,账号未激活
err_account_disabled,账号已禁用
success_operation,操作已成功
